file,message_count
6307228,30
annoniem,23
anoniem,46
appeltaartje,12
appeltje,18
atrin,26
bert,33
bot999,37
carina05,47
chatbotyusu,26
chattutorgnk2025,34
chico,23
cmj,28
cocotessensohn,19
daanb_6719,12
diedejansen,15
donut,8
dr.irene,14
dshlkhfsmhj,28
eend2000,22
elinejanssen,17
faz,38
fb2qst,20
femke,39
fjdikdod,44
gandalf,79
geanne,39
geneeskunde123,6
geus,19
gnk,32
gnk1,42
hanna728,40
herman,29
hockeystickje6,30
hoidoei66,43
hoolabaloooo,16
hxfzn,30
ineke,35
jesse,34
jipkptn,24
jurjuan,26
jurrebunte,26
kees,26
kyrasoepnel,18
lagl,25
lemonde7,18
lindekleijn,9
lise091,8
lukas,27
mare,49
maxmedendorp,14
mikey,39
mirre,36
mw12,39
naamloos,33
nathaliehilverts,27
neptunes,29
niels0404,14
nijlpaard2,70
olijf,50
ott,30
peter,7
s.robijn,26
sara,4
selwerd145,27
sh0rtix,48
sinterklaas,30
smurf123,26
sophia,46
stuarthull,16
student0000,39
studentjaar25,36
superanoniem,30
t.j.lambeck,30
tosti,24
use,2
vera,22
vmed,27
wolkenvlot,31
