file,phase
6307228.csv,Phase 2
annoniem.csv,Phase 3
anoniem.csv,Phase 3
appeltaartje.csv,Phase 1
appeltje.csv,Phase 2
atrin.csv,Phase 2
bert.csv,Phase 3
bot999.csv,Phase 3
carina05.csv,Phase 3
chatbotyusu.csv,Phase 3
chattutorgnk2025.csv,Phase 3
chico.csv,Phase 2
cmj.csv,Phase 3
cocotessensohn.csv,Phase 1
daanb_6719.csv,Phase 2
diedejansen.csv,Phase 2
donut.csv,Phase 1
dr.irene.csv,Phase 1
dshlkhfsmhj.csv,Phase 2
eend2000.csv,Phase 3
elinejanssen.csv,Phase 2
faz.csv,Phase 2
fb2qst.csv,Phase 2
femke.csv,Phase 3
fjdikdod.csv,Phase 3
gandalf.csv,Phase 2
geanne.csv,Phase 3
geneeskunde123.csv,Phase 1
geus.csv,Phase 1
gnk.csv,Phase 3
gnk1.csv,Phase 3
hanna728.csv,Phase 3
herman.csv,Phase 2
hockeystickje6.csv,Phase 2
hoidoei66.csv,Phase 3
hoolabaloooo.csv,Phase 1
hxfzn.csv,Phase 3
ineke.csv,Phase 3
jesse.csv,Phase 3
jipkptn.csv,Phase 3
jurjuan.csv,Phase 2
jurrebunte.csv,Phase 2
kees.csv,Phase 2
kyrasoepnel.csv,Phase 2
lagl.csv,Phase 2
lemonde7.csv,Phase 2
lindekleijn.csv,Phase 1
lise091.csv,Phase 1
lukas.csv,Phase 2
mare.csv,Phase 3
maxmedendorp.csv,Phase 1
mikey.csv,Phase 3
mirre.csv,Phase 3
mw12.csv,Phase 3
naamloos.csv,Phase 3
nathaliehilverts.csv,Phase 1
neptunes.csv,Phase 3
niels0404.csv,Phase 2
nijlpaard2.csv,Phase 3
olijf.csv,Phase 3
ott.csv,Phase 2
peter.csv,Phase 1
s.robijn.csv,Phase 2
sara.csv,Phase 1
selwerd145.csv,Phase 3
sh0rtix.csv,Phase 3
sinterklaas.csv,Phase 1
smurf123.csv,Phase 2
sophia.csv,Phase 3
stuarthull.csv,Phase 2
student0000.csv,Phase 3
studentjaar25.csv,Phase 3
superanoniem.csv,Phase 3
t.j.lambeck.csv,Phase 1
tosti.csv,Phase 3
use.csv,Phase 1
vera.csv,Phase 2
vmed.csv,Phase 2
wolkenvlot.csv,Phase 3
