role,content,created_at
user,laten we beginnen,2025-09-17T15:26:28.785942+00:00
assistant,"Zeker! Hier komt de casus waarmee we werken:

Een gezonde 25-jarige vrouw had routine prenatale controles. Bij een echo op 24 weken zwangerschap werd er een kleine opening (~5 mm) aan de rechterkant van de buik van de baby gevonden, dichtbij de navelstreng. Genetisch onderzoek op 26 weken was normaal. De opening werd later groter (tot 34 mm), en delen van de darmen van de baby dreven in het vruchtwater. De baby was kleiner dan verwacht. Bij 37 weken werd besloten tot een keizersnede. De pasgeboren jongen had delen van zijn dunne en dikke darm, evenals de maag, buiten de buikholte liggen. De ondersteunende weefsels waren kort en de darm was gezwollen. De diagnose: gastroschisis, een buikwanddefect.

Eerste vraag:  
Wat wordt bedoeld met ""embryonale vouwen"" (embryonic folding) tijdens de vroege ontwikkeling?",2025-09-17T15:26:43.576331+00:00
user,het dicht vouwen van de embryo waarbij het cradiale deel naar het caudiale deel vouwt,2025-09-17T15:28:11.473603+00:00
assistant,"Goed begin! Je beschrijft inderdaad dat de embryonale vouwen te maken hebben met het naar elkaar toe bewegen van de craniale en caudale delen. Maar embryonale vouwen omvatten ook nog iets meer.

Heb je overwogen of er naast de craniale en caudale vouwen nog andere richtingen betrokken zijn bij dit proces? Wat gebeurt er bijvoorbeeld met de zijkanten (lateraal) van de embryo tijdens het vouwen?",2025-09-17T15:28:20.518064+00:00
user,zijkanten bewegen ook naar elkaar toe,2025-09-17T15:28:35.323866+00:00
assistant,"Juist! Dat klopt. Tijdens de embryonale vouwen bewegen de zijkanten (lateraal) naar elkaar toe, naast de craniale en caudale uiteinden. Zo wordt uit een platte embryonale schijf een meer buisvormig lichaam gevormd.

Nieuwe vraag:  
Noem de drie kiemlagen (germ layers) die ontstaan tijdens de vroege embryonale ontwikkeling.",2025-09-17T15:28:43.461077+00:00
user,ectoderm. mesoderm en endoderm,2025-09-17T15:28:54.061314+00:00
assistant,"Heel goed! De drie kiemlagen zijn inderdaad ectoderm, mesoderm en endoderm.

Volgende vraag:  
Kun je het verschil uitleggen tussen het craniale, caudale, dorsale en ventrale deel van de embryo? Waar liggen deze richtingen in het embryo?",2025-09-17T15:29:00.956653+00:00
user,"craniale deel is de bovenkant, caudale deel is de staartkant, ventrale deel is voor voorkant en dorsale deel is de achterknt",2025-09-17T15:29:36.773112+00:00
assistant,"Prima! Je benoemt ze juist:

- Craniaal: bovenkant (âhoofdkantâ)
- Caudaal: onderkant (âstaartkantâ)
- Ventraal: voorkant (buikzijde)
- Dorsaal: achterkant (rugzijde)

Nu een andere belangrijke verdeling van het mesoderm:

Welke vier hoofd-subdivisies behoren tot het mesoderm tijdens de embryonale ontwikkeling?",2025-09-17T15:30:10.093677+00:00
