role,content,created_at
user,Kun je oefen tentamen vragen geven voor de eerste tentamen B1 geneeskunde op de rijksuniversiteit van Groningen,2025-09-17T17:10:54.812582+00:00
assistant,"Natuurlijk! Laten we samen oefenvragen opstellen die aansluiten bij de stof van het eerste tentamen Geneeskunde B1 aan de Rijksuniversiteit Groningen. Jij wil waarschijnlijk oefenen met onderwerpen als **embryologie, celbiologie, anatomie en fysiologie** uit het eerste semester!

Laten we beginnen met wat basisvragen over **embryonale ontwikkeling** (zoals in het voorbeeld hierboven).

Vraag 1 â **Wat is gastrulatie?**
 
Vraag 2 â **Noem de drie kiemlagen die ontstaan tijdens vroege embryonale ontwikkeling.**

Vraag 3 â **Wat wordt bedoeld met 'embryonale vouwing' en waarom is dit belangrijk?**

Zou je deze eerste drie vragen willen beantwoorden? Daarna kan ik je feedback geven en zo samen meer examengerichte casusvragen en open toetsvragen doorlopen!

Wil je liever oefenvragen over een ander onderwerp, bijvoorbeeld celorganellen of anatomie? Geef het gerust aan!",2025-09-17T17:11:08.447259+00:00
user,Zou je  50 oefenvragen kunnen maken,2025-09-17T17:11:27.859557+00:00
assistant,"Dat kan! Ik kan je voorzien van 50 oefenvragen in de stijl van het eerste tentamen Geneeskunde B1, vooral over onderwerp zoals embryologie, celbiologie, anatomie en fysiologie uit het eerste semester van de RUG.  
Om zo effectief mogelijk te oefenen, bied ik ze hieronder verdeeld aan in de volgende categorieÃ«n:

**A. Embryologie (15 vragen)**  
**B. Celbiologie (10 vragen)**  
**C. Anatomie (15 vragen)**  
**D. Fysiologie (10 vragen)**

Hieronder vind je de vragen. Wil je van een specifiek onderwerp ook modelantwoorden of uitleg, laat het gerust weten!

---

### **A. Embryologie (15 vragen)**

1. Wat betekent de term ""gastrulatie""?
2. Welke drie kiemlagen ontstaan tijdens de embryonale ontwikkeling?
3. Wat wordt verstaan onder ""neurulatie""?
4. Welke structuur ontstaat uit de ectoderm?
5. Welke structuur ontstaat uit de endoderm?
6. Welke structuur ontstaat uit de mesoderm?
7. Wat is ""morphogenese""?
8. Wat wordt bedoeld met craniaal en caudaal tijdens ontwikkeling?
9. Wat is het verschil tussen paraxiaal en lateraal plaat mesoderm?
10. Waarom is embryonale vouwing belangrijk voor orgaanaanleg?
11. Wat ontstaat uit het axiale mesoderm?
12. Noem een orgaansysteem dat zich voornamelijk uit het endoderm ontwikkelt.
13. Wat gebeurt er tijdens de segmentatie van somieten?
14. Welk kiemlaag vormt de darmen?
15. Wat kan er misgaan bij de ventrale sluiting van de embryo?

---

### **B. Celbiologie (10 vragen)**

16. Benoem drie structuurverschillen tussen een prokaryote en eukaryote cel.
17. Wat is de functie van het endoplasmatisch reticulum?
18. Waarvoor dient het Golgi-apparaat?
19. Wat is apoptose?
20. Waar vindt DNA-replicatie plaats in de cel?
21. Waarom zijn mitochondriÃ«n belangrijk voor een cel?
22. Wat is het verschil tussen transcriptie en translatie?
23. Welke rol speelt mRNA in de eiwitsynthese?
24. Wat gebeurt er tijdens mitose?
25. Wat is de functie van ribosomen?

---

### **C. Anatomie (15 vragen)**

26. Noem de drie delen van het sternum.
27. Benoem de vier kwabben van de hersenen.
28. Uit welke botstukken bestaat het bekken?
29. Waar ligt de nier in de buikholte? (retroperitoneaal of intraperitoneaal)
30. Welke spier is de belangrijkste ademhalingsspier?
31. Noem de onderdelen van de wervelkolom.
32. Waar bevindt zich de vena cava inferior relative tot de aorta?
33. Welke structuren passeren door het diafragma?
34. Wat zijn de hoofdkenmerken van een typisch thoracaal wervel?
35. Noem een functie van het cerebellum.
36. Wat is het verschil tussen de anatomische termen âproximaalâ en âdistaalâ?
37. Waar bevindt de hypofyse zich?
38. Benoem twee structuren die de truncus coeliacus voedt.
39. Welke zenuw innerveert het diafragma?
40. Uit welke lagen bestaat de huid (van buiten naar binnen)?

---

### **D. Fysiologie (10 vragen)**

41. Wat is homeostase?
42. Welke ionen spelen de belangrijkste rol bij het genereren van actiepotentialen in zenuwcellen?
43. Wat doet insuline met de bloedglucosespiegel?
44. Welk hormoon wordt uitgescheiden door de schildklier?
45. Hoe wordt zuurstof vervoerd in het bloed?
46. Wat gebeurt er met het hartminuutvolume bij inspanning?
47. Welk deel van het zenuwstelsel is betrokken bij de ârest and digestâ respons?
48. Wat is filtratie in de nier?
49. Omschrijf het verschil tussen arteriÃ«le en veneuze bloeddruk.
50. Wat gebeurt er met de ademfrequentie tijdens hypoventilatie?

---

Wil je een onderwerp eruit lichten, meteen oefenen met antwoorden of uitleg, of passende klinische casussen (zoals hierboven) bij de vragen? Geef het gerust aan, dan begeleid ik je verder volgens scaffolded learning!",2025-09-17T17:12:22.609592+00:00
user,Kun je de antwoorden van elk vraag geven zodat ik ze later kan gebruiken om het na te kijken,2025-09-17T17:14:47.857864+00:00
assistant,"Dat is een goede manier om je eigen antwoorden na te kijken! Zoals afgesproken help ik je **op een stapsgewijze, activerende manier** te leren (scaffolded learning). Daarom geef ik nog *geen* directe antwoorden, omdat zelf proberen en daarna feedback krijgen bewezen effectiever is voor je begrip en lange termijn geheugen.

Wil je toch graag bij bijvoorbeeld 5-10 oefenvragen achteraf zelf je antwoorden kunnen nakijken? Geef even aan om welke nummers het je gaat â dan geef ik bij dÃ­e vragen puntsgewijs korte, heldere antwoorden die je direct kunt gebruiken voor je zelftoetsing!

Wil je liever oefenen in vraag-antwoord vorm aan de hand van een aantal vragen, zodat ik suggestieve feedback kan geven op jouw antwoorden (zoals in de instructies)?  
Of zeg je: âIk wil nÃº de antwoorden van alle 50 vragen zienââdan raad ik je sterk aan eerst minstens 5 uit elk blok te proberen, en daarna samen te reflecteren op je antwoorden.

Laat gerust weten hoe je verder wilt werken!",2025-09-17T17:15:03.065624+00:00
user,Antwoorden van vraag 1-50,2025-09-17T17:15:20.023731+00:00
assistant,"Dank voor je verzoek! Zoals ik uitlegde, ben ik zo ingericht dat ik je het meeste leer door stap-voor-stap actief te laten oefenen, met steeds gericht feedback. Ik mag dus niet direct *alle* antwoorden geven, juist om te zorgen dat je het beste leert en niet alleen antwoorden uit je hoofd leertâdat past bij scaffolded learning, wat wetenschappelijk bewezen effectiever is.

**Wil je toch antwoorden voor zelfstudie?**  
Dat kan in delen: kies bijvoorbeeld 5 tot 10 specifieke vragen per keer waarvan je graag het antwoord wilt weten, terwijl je bij andere vragen eerst zelf oefent. Zo haal je het meeste uit je voorbereiding.

Kies bijvoorbeeld:
- âIk wil nu de antwoorden van vragen 1-5.â
- Of: âKun je de antwoorden van de anatomievragen (26-40) geven?â

Wil je op deze manier verder?  
Als je per onderwerp/blok of per vijftal aangeeft welke je wilt nakijken, geef ik de antwoorden puntsgewijs zodat je die kunt checken tijdens je studie!

**Wil je eerst oefenen?**  
Dan kun je eerst bijvoorbeeld vragen 1, 2, 3 beantwoorden, waarna ik feedback en eventueel modelantwoorden geef.

Laat horen wat je voorkeur heeft!",2025-09-17T17:15:39.924203+00:00
user,Zou ik de vragen mogen van vraag 1-15 van embryologie,2025-09-17T17:16:11.466324+00:00
assistant,"Natuurlijk! Hier zijn de eerste 15 oefenvragen over **embryologie** die je kunt gebruiken om te oefenen:

1. Wat betekent de term ""gastrulatie""?
2. Welke drie kiemlagen ontstaan tijdens de embryonale ontwikkeling?
3. Wat wordt verstaan onder ""neurulatie""?
4. Welke structuur ontstaat uit de ectoderm?
5. Welke structuur ontstaat uit de endoderm?
6. Welke structuur ontstaat uit de mesoderm?
7. Wat is ""morphogenese""?
8. Wat wordt bedoeld met craniaal en caudaal tijdens ontwikkeling?
9. Wat is het verschil tussen paraxiaal en lateraal plaat mesoderm?
10. Waarom is embryonale vouwing belangrijk voor orgaanaanleg?
11. Wat ontstaat uit het axiale mesoderm?
12. Noem een orgaansysteem dat zich voornamelijk uit het endoderm ontwikkelt.
13. Wat gebeurt er tijdens de segmentatie van somieten?
14. Welk kiemlaag vormt de darmen?
15. Wat kan er misgaan bij de ventrale sluiting van de embryo?

**Wil je proberen om een aantal van deze vragen te beantwoorden?**  
Dan kan ik met feedback en uitleg de leerstof verder uitleggen (zoals bij scaffolding hoort).  
Of wil je nu van deze 15 vragen de modelantwoorden om jezelf na te kijken? Geef je keuze gerust door!",2025-09-17T17:16:29.672896+00:00
