"record_id","redcap_survey_identifier","surveysession1_timestamp","age","gender","chatbot_frequency","mental_effort","g1_construct_answer","g2_understand_topic","g3_selfexplain","g4_trust","g5_prompt_selfexplain","g6_mechanisms_case","g7_recommend","g8_boring","g9_person","arcs1","arcs2","arcs3","arcs4","arcs5","arcs6","arcs7","arcs8","arcs9","arcs10","arcs11","arcs12","surveysession1_complete","demo_complete","scales_complete","fully_complete","g8_boring_rev","g9_person_rev","chatbot_eval_score","arcs_attention_score","arcs_relevance_score","arcs_confidence_score","arcs_satisfaction_score","arcs_total_score","gender_label","frequency_label","usage_high_low"
241,NA,"2025/9/29 10:18",18,1,4,5,3,4,4,4,3,4,3,2,5,3,3,2,3,4,4,4,3,3,1,3,2,2,TRUE,TRUE,TRUE,4,1,3.33333333333333,2.66666666666667,3.66666666666667,3.33333333333333,2,2.91666666666667,"Female","About once/week","High"
242,NA,"2025/9/29 10:23",19,2,5,4,3,4,5,2,3,5,2,2,5,2,1,2,3,4,2,3,1,2,2,3,2,2,TRUE,TRUE,TRUE,4,1,3.22222222222222,1.66666666666667,3,2,2.33333333333333,2.25,"Male","Multiple times/week","High"
243,NA,"[not completed]",18,2,6,7,4,4,4,3,4,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,FALSE,FALSE,NA,2,3.66666666666667,3.33333333333333,4,4,3,3.58333333333333,"Male","Daily","High"
244,NA,"2025/9/29 17:34",18,2,4,6,4,4,5,4,5,5,5,1,3,4,3,4,5,5,4,4,3,4,4,4,4,2,TRUE,TRUE,TRUE,5,3,4.44444444444444,3.66666666666667,4.66666666666667,3.66666666666667,4,4,"Male","About once/week","High"
245,NA,"2025/9/29 17:34",17,1,6,4,4,4,4,5,3,4,4,2,4,4,3,3,4,4,4,4,3,4,4,4,3,2,TRUE,TRUE,TRUE,4,2,3.77777777777778,3.33333333333333,4,3.66666666666667,3.66666666666667,3.66666666666667,"Female","Daily","High"
246,NA,"2025/9/29 17:34",18,1,4,6,4,3,4,3,4,3,4,2,3,3,4,3,4,5,4,3,3,4,3,4,4,2,TRUE,TRUE,TRUE,4,3,3.55555555555556,3.33333333333333,4.33333333333333,3.33333333333333,3.66666666666667,3.66666666666667,"Female","About once/week","High"
247,NA,"2025/9/29 17:34",18,1,4,6,4,4,5,4,5,4,4,1,3,4,4,4,4,4,4,4,3,4,4,4,4,2,TRUE,TRUE,TRUE,5,3,4.22222222222222,4,4,3.66666666666667,4,3.91666666666667,"Female","About once/week","High"
248,NA,"2025/9/29 17:34",18,1,4,5,4,4,4,4,3,5,4,1,3,3,4,4,3,5,4,4,4,4,4,4,4,2,TRUE,TRUE,TRUE,5,3,4,3.66666666666667,4,4,4,3.91666666666667,"Female","About once/week","High"
249,NA,"2025/9/29 17:35",18,2,3,5,2,2,1,1,3,1,2,4,4,2,2,2,2,1,1,1,2,1,1,1,3,2,TRUE,TRUE,TRUE,2,2,1.77777777777778,2,1.33333333333333,1.33333333333333,1.66666666666667,1.58333333333333,"Male","About once/month","Low"
250,NA,"2025/9/29 17:34",19,1,3,5,4,5,4,5,5,4,4,2,4,4,4,4,4,5,4,4,4,4,3,3,4,2,TRUE,TRUE,TRUE,4,2,4.11111111111111,4,4.33333333333333,4,3.33333333333333,3.91666666666667,"Female","About once/month","Low"
251,NA,"2025/9/29 17:34",18,1,5,5,1,2,1,2,1,3,2,3,5,1,3,1,2,4,4,4,4,2,1,1,1,2,TRUE,TRUE,TRUE,3,1,1.77777777777778,1.66666666666667,3.33333333333333,3.33333333333333,1,2.33333333333333,"Female","Multiple times/week","High"
252,NA,"2025/9/29 17:34",20,1,6,4,4,4,4,4,4,4,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,2,TRUE,TRUE,TRUE,5,3,4,4,4,4,4,4,"Female","Daily","High"
253,NA,"2025/9/29 17:55",19,1,2,5,4,4,5,3,3,3,3,2,2,3,4,4,3,4,4,4,4,4,4,3,3,2,TRUE,TRUE,TRUE,4,4,3.66666666666667,3.66666666666667,3.66666666666667,4,3.33333333333333,3.66666666666667,"Female","Less than once/month","Low"
254,NA,"2025/9/29 17:56",18,1,6,6,4,4,5,4,2,4,4,2,4,3,4,4,4,4,3,3,3,2,2,2,3,2,TRUE,TRUE,TRUE,4,2,3.66666666666667,3.66666666666667,3.66666666666667,2.66666666666667,2.33333333333333,3.08333333333333,"Female","Daily","High"
255,NA,"2025/9/29 17:58",19,1,5,3,5,5,5,5,5,5,5,1,3,5,5,5,4,5,5,5,5,5,5,5,5,2,TRUE,TRUE,TRUE,5,3,4.77777777777778,5,4.66666666666667,5,5,4.91666666666667,"Female","Multiple times/week","High"
256,NA,"[not completed]",19,1,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,FALSE,FALSE,NA,NA,3.88888888888889,3.33333333333333,4,4,3,3.58333333333333,"Female","About once/month","Low"
257,NA,"[not completed]",22,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,FALSE,FALSE,NA,NA,3.88888888888889,3.33333333333333,4,4,3,3.58333333333333,"Female","About once/month","Low"
258,NA,"2025/9/29 18:06",19,1,1,5,4,4,4,4,4,4,4,4,4,3,2,2,3,4,4,4,3,4,4,4,4,2,TRUE,TRUE,TRUE,2,2,3.55555555555556,2.33333333333333,3.66666666666667,3.66666666666667,4,3.41666666666667,"Female","Never","Low"
259,NA,"[not completed]",18,1,4,5,4,4,4,5,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,FALSE,FALSE,4,5,4.22222222222222,3.33333333333333,4,4,3,3.58333333333333,"Female","About once/week","High"
260,NA,"[not completed]",18,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE,FALSE,FALSE,NA,NA,3.88888888888889,3.33333333333333,4,4,3,3.58333333333333,"Female","Never","Low"
