record_id,redcap_survey_identifier,surveysession1_timestamp,age,gender,chatbot_frequency,mental_effort,g1_construct_answer,g2_understand_topic,g3_selfexplain,g4_trust,g5_prompt_selfexplain,g6_mechanisms_case,g7_recommend,g8_boring,g9_person,arcs1,arcs2,arcs3,arcs4,arcs5,arcs6,arcs7,arcs8,arcs9,arcs10,arcs11,arcs12,surveysession1_complete
391,,2025/11/5 12:09,20,1,1,5,4,5,5,4,5,4,3,3,5,3,4,4,5,3,4,4,4,4,1,2,3,2
392,,2025/11/5 12:08,18,2,4,3,3,3,3,3,3,3,5,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2
393,,2025/11/5 12:08,19,1,5,5,3,3,3,3,3,3,3,3,3,2,4,3,4,3,3,3,3,3,3,3,3,2
394,,2025/11/5 12:09,20,1,6,5,3,5,3,2,4,4,2,2,3,2,3,3,3,4,4,3,4,3,2,3,2,2
395,,2025/11/5 12:10,19,1,2,6,4,4,4,5,4,4,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,2
396,,2025/11/5 12:10,23,2,6,5,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,2,4,4,2
397,,[not completed],20,1,2,5,4,4,4,4,4,4,3,2,3,,,,,,,,,,,,,0
398,,2025/11/5 16:43,19,1,1,4,3,2,4,3,4,3,2,3,5,2,2,4,4,5,5,3,3,3,2,1,1,2
399,,2025/11/5 16:43,18,1,1,5,4,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2
400,,2025/11/5 16:43,18,4,6,9,3,3,4,4,4,4,3,2,2,2,2,4,4,2,3,4,5,2,1,2,3,2
401,,2025/11/5 16:44,18,2,6,5,4,1,2,3,4,2,1,3,5,2,3,3,1,2,1,1,1,2,1,1,1,2
402,,2025/11/5 16:43,24,1,5,6,4,4,3,3,4,4,4,2,4,2,4,3,4,3,3,4,3,3,2,4,3,2
403,,2025/11/5 16:44,18,1,5,3,1,4,4,4,4,5,5,4,4,5,5,5,4,3,3,4,3,5,4,3,3,2
404,,2025/11/5 16:44,18,1,1,5,2,3,2,3,3,2,3,2,3,3,3,2,3,2,3,3,2,2,2,2,2,2
405,,2025/11/5 16:47,20,2,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,5,2
406,,2025/11/5 17:31,18,2,2,3,3,3,4,3,3,3,4,2,4,2,1,1,2,4,4,3,3,2,1,2,2,2
407,,2025/11/5 17:41,20,1,2,5,2,2,1,2,2,2,1,3,4,2,1,1,1,1,1,1,1,1,2,2,1,2
408,,2025/11/5 17:40,19,2,3,8,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,2
409,,2025/11/5 17:40,20,1,2,6,2,2,2,4,4,4,2,3,4,1,1,1,2,2,2,2,2,2,1,1,1,2
410,,2025/11/5 17:41,19,1,3,7,1,1,2,1,1,1,1,5,5,1,1,1,1,3,1,1,1,1,1,1,1,2
411,,2025/11/5 17:41,18,1,4,6,4,3,4,4,4,4,4,2,1,2,2,1,4,4,4,4,3,2,4,4,2,2
412,,2025/11/5 17:42,17,2,4,6,1,1,1,2,2,2,1,4,3,1,1,1,2,1,1,1,1,1,1,1,1,2
413,,2025/11/5 17:42,19,2,5,6,2,1,1,2,5,4,2,4,5,1,3,3,3,4,3,2,3,3,3,3,2,2
414,,2025/11/5 17:43,18,1,5,5,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2
415,,2025/11/5 17:46,18,2,3,7,4,4,5,4,5,4,5,1,3,5,4,4,4,4,3,4,3,4,4,4,4,2
416,,2025/11/5 17:47,18,1,5,6,2,4,4,5,5,5,3,1,2,4,4,3,4,5,5,5,5,4,4,4,4,2
417,,2025/11/5 17:46,18,1,2,6,4,3,4,3,4,3,4,3,3,4,4,3,4,3,3,4,4,4,3,3,4,2
418,,2025/11/5 17:48,17,1,1,5,4,3,4,5,4,4,4,1,4,3,4,3,5,5,5,4,3,3,3,3,3,2
419,,2025/11/5 17:47,20,1,6,7,3,4,4,4,4,4,3,2,4,4,4,4,3,3,4,4,4,4,4,4,4,2
420,,2025/11/5 17:47,18,1,3,6,4,4,4,4,4,4,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2
421,,2025/11/5 18:25,17,1,6,6,4,3,4,4,2,4,3,3,4,2,3,2,1,4,3,3,3,3,2,3,2,2
422,,2025/11/5 18:25,19,2,3,6,3,4,4,2,4,4,4,3,2,3,4,2,4,4,2,4,5,4,2,4,4,2
423,,2025/11/5 18:26,18,1,1,3,2,2,4,3,4,4,4,2,2,4,4,4,4,3,4,3,4,3,4,4,4,2
424,,2025/11/5 18:28,20,1,6,3,4,3,5,2,4,4,3,3,5,4,3,3,4,4,3,4,3,3,3,3,3,2
425,,2025/11/5 18:26,19,1,6,3,4,3,4,4,4,4,3,2,2,4,3,3,4,4,4,3,4,2,3,4,4,2
426,,2025/11/5 18:26,19,1,6,3,4,4,4,4,3,3,3,4,2,2,2,2,4,3,3,3,3,3,3,2,2,2
427,,2025/11/5 18:26,20,1,3,3,1,4,1,2,1,2,2,3,3,1,2,3,3,3,3,3,2,3,1,1,1,2
428,,[not completed],18,2,1,,,,,,,,,,,,,,,,,,,,,,,0
429,,[not completed],,,,,,,,,,,,,,,,,,,,,,,,,,0
